    31P        1a    2a    3a   3b   3c   4a  4b  5a  6a  6b 6c  7a 8a 8b  9a  9b 9c 10a 12a 12b 12c 12d 13a 14a 15a 15b 18a 18b 19a 20a 21a 24a 24b 24c 24d 27a 27b 27c 28a 30a 30b  31a 31b 36a 36b 36c 39b 39a
X028      6669000 -1080  -351  108    0   56   0   0   0   9  0   2  0  0   0   0  0   0  /A   A   2   0   0  -2   0   0   0   0   0   0  -1   D  -D   0   0   0   0   0   0   0   0   1   1   2  /H   H   0   0
X029      6696000  -960  -378  135    0   64   0   0   0   6  3   3  0  0   0   0  0   0   B  /B   1   0  -1  -1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0  -2  -H -/H  -1  -1
X030      6696000  -960  -378  135    0   64   0   0   0   6  3   3  0  0   0   0  0   0  /B   B   1   0  -1  -1   0   0   0   0   1   0   0   0   0   0   0   0   0   0   1   0   0   0   0  -2 -/H  -H  -1  -1
X031     10822875  -805   924  141  -75   91  -5   0   5  -4  5   0  3 -1 -21   6 -3   0   4   4   1   1  -2   0   0   0  -1  -1   0   0   0   0   0  -1  -1   0   0   0   0   0   0   0   0   1   1   1   1   1
X032     11577384   552   351  135    0 -120  24   9   0  15  3   7 -8  0   0   0  0  -3   3   3  -3   0   0  -1   0   0   0   0   0  -1   1   1   1   0   0   0   0   0  -1   0   0   0   0   0   0   0   0   0
X033     16539120  2544     0  297  -54   48  16  -5  -6   0 -3   3  0  0   0   0  0  -1   0   0   3  -2   0   3   1   1   0   0   0   1   0   0   0   0   0   0   0   0  -1  -1  -1   0   0   0   0   0   0   0
X034     18154500  1540  -273  213  -30  -28  20   0  10 -17  1   0 -4  0  -3  -3 -3   0  -1  -1  -1   2   0   0   0   0   1   1   0   0   0  -1  -1   0   0   0   0   0   0   0   0   1   1  -1  -1  -1   0   0
X035     21326760   168     0 -135 -108 -168   0  10  12   0 -3   0  0  0   0   0  0  -2   0   0   3   0   0   0   C  /C   0   0   1   0   0   0   0   0   0   0   0   0   0   C  /C   0   0   0   0   0   0   0
X036     21326760   168     0 -135 -108 -168   0  10  12   0 -3   0  0  0   0   0  0  -2   0   0   3   0   0   0  /C   C   0   0   1   0   0   0   0   0   0   0   0   0   0  /C   C   0   0   0   0   0   0   0
X037     28861000   840  1078 -110  160   56   0   0   0   6 -6   0  0  0 -29  -2 -2   0   2   2   2   0  -1   0   0   0   3   0   0   0   0   0   0   0   0   1   1   1   0   0   0   0   0  -1  -1  -1  -1  -1
X038     30507008     0   896 -184   32    0   0   8   0   0  0   0  0  0  32   5 -4   0   0   0   0   0  -1   0   2   2   0   0   0   0   0   0   0   0   0  -1  -1  -1   0   0   0   1   1   0   0   0  -1  -1
X039     40199250  3410   -78    3  165  -62  10   0   5   2 -1  -7 -6  2   3   3  3   0  -2  -2   1   1   0   1   0   0  -1  -1   0   0  -1   0   0  -1  -1   0   0   0   1   0   0   0   0   1   1   1   0   0
X040     44330496  3584   168    6 -156    0   0  -4  -4   8  2   0  0  0   6   6 -3   4   0   0   0   0   2   0  -1  -1   2  -1   0   0   0   0   0   0   0   0   0   0   0   1   1   0   0   0   0   0  -1  -1
X041     51684750  2190     0  108  135 -162 -10   0  15   0 12  -9  6 -2   0   0  0   0   0   0   0  -1   0  -1   0   0   0   0   0   0   0   0   0   1   1   0   0   0  -1   0   0   0   0   0   0   0   0   0
X042     72925515 -2997     0    0    0   27  51  15   0   0  0  -9  3  3   0   0  0   3   0   0   0   0   0  -1   0   0   0   0   0   1   0   0   0   0   0   0   0   0  -1   0   0  -1  -1   0   0   0   0   0
X043     76271625 -2295   729    0    0  153 -15   0   0   9  0 -11 -7 -3   0   0  0   0  -3  -3   0   0   1   1   0   0   0   0   1   0   1  -1  -1   0   0   0   0   0  -1   0   0   0   0   0   0   0   1   1
X044     77376000  2560  1560  -60  -60    0   0   0 -20  -8  4   2  0  0  -6  -6  3   0   0   0   0   0   0  -2   0   0  -2   1   1   0  -1   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
X045     81153009  -783  -729    0    0  225   9   9   0  -9  0  -7  1 -3   0   0  0  -3   3   3   0   0   2   1   0   0   0   0   0  -1  -1   1   1   0   0   0   0   0   1   0   0   0   0   0   0   0  -1  -1
X046     91171899   315     0  243    0  -21 -45  24   0   0 -9   0  3  3   0   0  0   0   0   0  -3   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0
X047    111321000  3240 -1728 -216    0  216   0   0   0   0  0   7  0  0   0   0  0   0   0   0   0   0  -2  -1   0   0   0   0   0   0   1   0   0   0   0   0   0   0  -1   0   0   0   0   0   0   0   1   1
X048    190373976 -3240     0    0    0 -216   0 -24   0   0  0   9  0  0   0   0  0   0   0   0   0   0   0   1   0   0   0   0  -1   0   0   0   0   0   0   0   0   0   1   0   0   0   0   0   0   0   0   0
